綜藝生活,#genre#
ndr_int,https://ndrint.akamaized.net/hls/live/2020766/ndr_int/master-1080p-5000.m3u8
ndr_int,https://ndrint.akamaized.net/hls/live/2020766/ndr_int/index.m3u8
TVSN-MSL4,https://tvsnhlslivetest.akamaized.net/hls/live/2034711/TVSN-MSL4/master_TVSN.m3u8
TVSN-MSL4,https://tvsnhlslivetest.akamaized.net/hls/live/2034711/TVSN-MSL4/master.m3u8
livetvkika_ww,https://kikahls.akamaized.net/hls/live/2022690/livetvkika_ww/master-1080p-5000.m3u8
livetvkika_ww,https://kikahls.akamaized.net/hls/live/2022690/livetvkika_ww/master.m3u8
qvcuk,https://qvcuk-live.akamaized.net/hls/live/2097112/qst/3/3.m3u8
qvcuk,https://qvcuk-live.akamaized.net/hls/live/2097112/qst/master.m3u8

听不懂系列1,#genre#
wdr_msl4_fs247ww,https://wdrfsww247.akamaized.net/hls/live/2009628/wdr_msl4_fs247ww/master_3328.m3u8
wdr_msl4_fs247ww,https://wdrfsww247.akamaized.net/hls/live/2009628/wdr_msl4_fs247ww/master.m3u8
wdr_msl4_fs247ww,https://wdrlokalzeit.akamaized.net/hls/live/2018025/wdrlz_muensterland/master.m3u8
wdr_msl4_fs247ww,https://wdrfs247.akamaized.net/hls/live/681509/wdr_msl4_fs247/index.m3u8

kbsworld,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/01.m3u8
kbsworld,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/master.m3u8
kbsworld(2),https://wms4-kortv.akamaized.net/a_live/63719963/smil:20ch011.smil/chunklist-b2500000.m3u8
kbsworld(2),https://wms4-kortv.akamaized.net/a_live/63719963/smil:20ch011.smil/playlist.m3u8
kbsworld(3),https://wms4-kortv.akamaized.net/a_live/63719963/20ch011.smil/chunklist-b2500000.m3u8
kbsworld(3),https://wms4-kortv.akamaized.net/a_live/63719963/20ch011.smil/.m3u8
kbsworld(4),https://wms211-kortv.akamaized.net/a_live/34402987/smil:20ch211.smil/chunklist-b2500000.m3u8
